C (t = 0),0,1,2,3,4,5,6,7,8
0,0,0,0,0,0,0,0,0,0
22.9216917066226,3503.19243938048,3503.19243938048,3503.19243938048,3503.19243938048,3503.19243938048,3503.19214158259,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
47.7334123643818,3033.94209260992,3033.94209260992,3033.94209260992,3033.94209260992,3033.94209260992,3033.94174630467,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
35.4733729835888,2963.97439462617,2963.97439462617,2963.97439462617,2963.97439462617,2963.97439462617,2963.9740999147,0,0,0
30.5174699473806,2511.68337895987,2511.68337895987,2511.68337895987,2511.68337895987,2511.68337895987,2511.68311698249,0,0,0
0,0,0,0,0,0,0,0,0,0
50.1333247641864,2979.15899433259,2979.15899433259,2979.15899433259,2979.15899433259,2979.15899433259,2979.1586450179,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
30.6693149128891,2560.46930097294,2560.46930097294,2560.46930097294,2560.46930097294,2560.46930097294,2560.46902164351,0,0,0
48.8967653141708,3090.43041846604,3090.43041846604,3090.43041846604,3090.43041846604,3090.43041846604,3090.43006431819,0,0,0
0,0,0,0,0,0,0,0,0,0
32.3596739537015,2622.11436761171,2622.11436761171,2622.11436761171,2622.11436761171,2622.11436761171,2622.1140834455,0,0,0
58.0872596533576,3011.82667325989,3011.82667325989,3011.82667325989,3011.82667325989,3011.82667325989,3011.82631652264,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
