C (t = 0),0,1,2,3,4,5,6,7,8
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
28.4009865722454,2943.02412907411,2943.02412907411,2943.02412907411,2943.02412907411,2943.02412907411,2943.02391033812,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
31.8012699255275,2517.95691453103,2517.95691453103,2517.95691453103,2517.95691453103,2517.95691453103,2517.95672446127,0,0,0
0,0,0,0,0,0,0,0,0,0
46.8054125766056,3763.60821607163,3763.60821607163,3763.60821607163,3763.60821607163,3763.60821607163,3763.60792978175,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
23.2628855490348,2847.3789984898,2847.3789984898,2847.3789984898,2847.3789984898,2847.3789984898,2847.37881112305,0,0,0
35.4733729835888,2622.76174480705,2622.76174480705,2622.76174480705,2622.76174480705,2622.76174480705,2622.76155517577,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
7.72054617857876,2223.04912515189,2223.04912515189,2223.04912515189,2223.04912515189,2223.04912515189,2223.04899370179,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
11.0843524441539,3318.15760876178,3318.15760876178,3318.15760876178,3318.15760876178,3318.15760876178,3318.15743380856,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
13.5356727075235,2796.45607666925,2796.45607666925,2796.45607666925,2796.45607666925,2796.45607666925,2796.45591611053,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
18.0790869226814,3103.77024406654,3103.77024406654,3103.77024406654,3103.77024406654,3103.77024406654,3103.77007187308,0,0,0
0,0,0,0,0,0,0,0,0,0
